boy,"['boychick', 'boyo', 'callant', 'lad', 'laddie', 'nipper', 'shaveling', 'shaver', 'sonny', 'stripling', 'tad', 'youth']"
starting,"['beginning', 'earliest', 'first', 'foremost', 'headmost', 'inaugural', 'initial', 'leadoff', 'maiden', 'opening', 'original', 'pioneer', 'primary', 'eminent', 'premier', 'superior']"
hey,"['glory', 'ha', 'hallelujah', 'hooray', 'hot dog', 'huzzah', 'wahoo', 'whee', 'whoopee', 'yahoo', 'yippee']"
learn,"['get', 'master', 'pick up']"
ran,"['dashed', 'galloped', 'jogged', 'scampered', 'sprinted', 'tripped', 'trotted']"
away,"['down', 'fro', 'hence', 'off', 'out']"
the,"['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']"
to,"['afore', 'ahead of', 'before', 'ere', 'fore', 'of', 'previous to', 'prior to']"
my,"['ah', 'aha', 'come on', 'fie', 'indeed', 'no', 'pshaw', 'well', 'what', 'why']"
house,"['business', 'company', 'concern', 'enterprise', 'establishment', 'firm', 'interest', 'outfit']"
country,"['fatherland', 'home', 'homeland', 'mother country', 'motherland', 'sod']"
river,"['rivulet', 'stream', 'aqueduct', 'canal', 'channel', 'conduit', 'course', 'flume', 'racecourse', 'raceway', 'watercourse', 'waterway', 'millrace', 'millstream', 'floodway', 'sluice', 'sluiceway', 'spillway', 'swash', 'tideway', 'torrent', 'gutter', 'trough']"
winter,"['downtime', 'layoff', 'time-out']"
water,"['bathe', 'bedraggle', 'douse', 'drench', 'drown', 'soak', 'sodden', 'sop', 'souse', 'wash', 'water-soak', 'waterlog', 'wet', 'wet down']"
flow,"['pour', 'roll', 'run', 'stream']" 
summer,"['autumn', 'bloom', 'blossom', 'florescence', 'floruit', 'flower', 'flush', 'heyday', 'high noon', 'prime', 'salad days', 'springtime', 'blooming', 'blossoming', 'efflorescence', 'flowering', 'acme', 'apex', 'climax', 'meridian', 'peak', 'pinnacle', 'summit', 'zenith', 'glory', 'grandeur', 'splendor', 'belle epoque', 'golden age', 'silver age', 'comeback', 'recovery', 'revival']"
man,"['bastard', 'bloke', 'buck', 'cat', 'chap', 'chappie', 'dude', 'fella', 'fellow', 'galoot', 'gent', 'gentleman', 'guy', 'hombre', 'jack', 'joe', 'joker', 'lad', 'male']"
hello,"['greeting', 'salutation', 'salute', 'welcome']"
do,"['befit', 'beseem', 'fit', 'go', 'serve', 'suit']"
come,"['advance', 'approach', 'near', 'nigh']"
and,"['constantly', 'continually', 'frequently', 'hourly', 'much', 'oft', 'often', 'oftentimes', 'over and over', 'repeatedly']"
talk,"['address', 'declamation', 'harangue', 'oration', 'peroration', 'speech']"
me,"['approaching', 'approximating', 'close', 'coextensive', 'coincident', 'conformable', 'conforming', 'consistent', 'consonant', 'duplicate', 'equal', 'fungible', 'interchangeable', 'redundant', 'selfsame', 'substitutable', 'twin', 'cognate', 'connate', 'ditto', 'resemblant', 'resembling', 'coequal', 'duplicate', 'equal', 'even', 'identical', 'indistinguishable', 'same', 'akin', 'alike', 'analogous', 'comparable', 'coordinate', 'correspondent', 'corresponding', 'equivalent', 'like', 'look-alike', 'matching', 'parallel', 'similar', 'such', 'suchlike', 'synonymous', 'tantamount']"
but,"['apart from', 'aside from', 'bar', 'barring', 'beside', 'besides', 'except', 'except for', 'excluding', 'exclusive of', 'other than', 'outside', 'outside of', 'save', 'saving']"
n't,"['net', 'nit', 'not', 'nut', 'neat', 'knit', 'note', 'knot', 'nest', 'nets', 'next', 'nits', 'nuts', 'snit', 'snot', 'unit']"
I,"[' single  ', ' one  ', ' me  ', ' I personally  ', ' go to extremes  ', ' blow up out of proportion  ', ' blow out of proportion  ', ' cook up  ', ' build up  ', ' amplify  ']"
deserve,"['earn', 'merit', 'rate']"
a,"['au courant', 'chic', 'cool', 'exclusive', 'fashionable', 'fresh', 'happening', 'hip', 'in', 'modish', 'sharp', 'smart', 'snappy', 'stylish', 'supercool', 'swell', 'swish', 'trendy', 'voguish']"
much,"['big', 'consequential', 'earth-shattering', 'earthshaking', 'eventful', 'historic', 'important', 'major', 'material', 'meaningful', 'momentous', 'monumental', 'significant', 'substantial', 'tectonic', 'weighty']"
better,"['exceptional', 'fancy', 'high-grade', 'special', 'bijou', 'jewellike', 'elite', 'exclusive', 'choice', 'dainty', 'delicate', 'elegant', 'exquisite', 'fine', 'rare', 'recherch�', 'select', 'classic', 'excellent', 'fabulous', 'first-class', 'first-rate', 'grand', 'great', 'marvelous', 'noble', 'outstanding', 'par excellence', 'premium', 'prime', 'sensational', 'splendid', 'stellar', 'sterling', 'superb', 'superior', 'superlative', 'supernal', 'terrific', 'tip-top', 'top', 'top-notch', 'transcendent', 'unsurpassed', 'wonderful', 'ultrarare']"
person,"['baby', 'being', 'bird', 'bod', 'body', 'character', 'cookie', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'guy', 'head', 'human', 'human being', 'individual', 'life', 'man', 'mortal', 'party', 'personage', 'scout', 'slob', 'sort', 'soul', 'specimen', 'stiff', 'thing', 'wight']"
than,"['apart from', 'aside from', 'bar', 'barring', 'beside', 'besides', 'but', 'except', 'except for', 'excluding', 'exclusive of', 'outside', 'outside of', 'save', 'saving']"
you,"['what all', 'whatever', 'whatnot']"
brother,"['sibling', 'sister', 'stepbrother', 'stepsister', 'cousin', 'kinsman', 'kinswoman', 'relation', 'relative', 'in-law', 'kissing cousin', 'blood', 'clan', 'family', 'folk', 'house', 'kindred', 'kinfolk', 'kinsfolk', 'line', 'lineage', 'people', 'race', 'stock', 'tribe']"
how,"['where', 'wherein']"
are,"['breathe', 'exist', 'live', 'subsist']"
i,"[' single  ', ' one  ', ' me  ', ' I personally  ', ' go to extremes  ', ' blow up out of proportion  ', ' blow out of proportion  ', ' cook up  ', ' build up  ', ' amplify  ']"
am,"['breathe', 'exist', 'live', 'subsist']"
fine,"['dusty', 'floury', 'powdery']"
Environmental,"['ambient', 'atmosphere', 'climate', 'clime', 'context', 'contexture', 'environs', 'medium', 'milieu', 'mise-en-sc�ne', 'setting', 'surround', 'surroundings', 'terrain']"
pollution,"['adulteration', 'contamination', 'defilement', 'dirtiness', 'filthiness', 'foulness', 'soilage', 'uncleanliness', 'uncleanness', 'adulterant', 'contaminant', 'impurity', 'pollutant', 'poison', 'toxin']"
represents,"['characterizes', 'characters', 'defines', 'depicts', 'describes', 'portrays']"
obstacle,"['balk', 'bar', 'block', 'chain', 'clog', 'cramp', 'crimp', 'deterrent', 'drag', 'embarrassment', 'encumbrance', 'fetter', 'handicap', 'hindrance', 'holdback', 'hurdle', 'impediment', 'inhibition', 'interference', 'let', 'manacle', 'obstruction', 'shackles', 'stop', 'stumbling block', 'trammel']"
economical,"['economizing', 'frugal', 'provident', 'scrimping', 'sparing', 'thrifty']"
exploitation,"[' using   ', ' victimization   ', ' development   ', ' utilization  ', ' misuse  ', ' abuse  ', ' operation  ', ' use  ', ' manipulation  ', ' victimisation   ']"
coal,"[' ember   ', ' char   ', ' charcoal  ', ' carbon  ', ' fuel  ', ' cinder  ', ' ash  ', ' anthracite  ', ' smut  ', ' coke  ']"
deposits,"['caches', 'hoards', 'reserves', 'stores']"
industrialized,"['industrial', 'metro', 'metropolitan', 'urban', 'nonagricultural']"
countries,"['fatherlands', 'homelands', 'homes', 'mother countries', 'motherlands', 'sods']"
rules,"['bylaws', 'ground rules', 'regs', 'regulations']"
protection,"['aegis', 'ammunition', 'armor', 'buckler', 'cover', 'defense', 'guard', 'safeguard', 'screen', 'security', 'shield', 'wall', 'ward']"
environment,"['ambient', 'atmosphere', 'climate', 'clime', 'context', 'contexture', 'environs', 'medium', 'milieu', 'mise-en-sc�ne', 'setting', 'surround', 'surroundings', 'terrain']"
stricter,"['accurate', 'authentic', 'exact', 'faithful', 'precise', 'right', 'true', 'veracious']"
developing,"['elaborating', 'evolving', 'unfolding']"
Thus,"['accordingly', 'consequently', 'ergo', 'hence', 'so', 'therefore', 'thereupon', 'wherefore']"
get,"['learn', 'master', 'pick up']"
license,"['allowance', 'authorization', 'clearance', 'concurrence', 'consent', 'granting', 'green light', 'leave', 'permission', 'sanction', 'sufferance', 'warrant']"
